"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ca8c1cc094272e70ff21f563a2af81c3",5;18069892375496,-0;525872015501708,0;380352875692237,-1;38174514517079,0;16704996738384,0;244931367419805
"643e1fe5e4374e56b15854c0ab8bd517",19;1966496918955,0;317323511605702,0;34703425811707,0;914410532839773,0;360501169343473,0;440146776524007
"e4a8d89e330d04f29688c61cc275c501",8;67130113997277,0;030753819526264,0;403990775902369,5;76867105119824,7;98990892189229e-09,5;24337772999181e-08
"1cc1bac06496093e1f4903bb981b67a4",1;2706127106325,-0;1727967420175,0;32651220362074,-0;529012134279672,0;596797032328098,NA
"d40cb52e5d7086fee99ae0907fd334f9",1;67963527617939,-0;113760827251423,0;3156006953698,-0;360428338959281,0;718526837310473,0;78588872830833
"104d07a34368d9f652c61bbb84e59327",1;48026804556299,3;93776161977364,0;247890007723402,-1;74832015666094,0;0804086048289615,0;162363528981557
"22358af799b12718b2413db582b1a6af",1;37492138302041,0;329815777972866,0;322324665602335,1;02086920769763,0;307316409648831,NA
"bc1d8d569b4547c1c5c74417dca42c12",1;18425156869923,5;91630018879968,0;233783254409968,-0;0200635236134085,0;983992698223924,NA
"539265e101086f2e7d8aa51c05152c1b",1;18425156869923,-8;84006431181634,0;219072077528685,-0;0200635236134085,0;983992698223924,NA
"542b8274cc0abe38ef023b02b57dbf9b",1;27047600106047,-3;03547906042219,0;125394959413474,0;470017202905586,0;638342726987713,NA
"c10027370c67bc9ee9b945c53d20ab5c",1;80689177466641,0;355284082711245,0;322380914961489,1;10009705229745,0;271289838041362,0;360575101194215
"30526a7a4d826edd9b043b56bd8e847a",1;39816727073562,0;361144899066809,0;324514549751375,1;10993852891244,0;267025516284261,NA
"034aaec3b477baaaad7676a87004e735",11;1803459564185,3;94057659115608,0;415765495253829,6;08472249910493,1;16693245388568e-09,9;42522366599976e-09
"5bf5a35fbf5c2c129b31a4aaa02679bd",9;38661019303254,-2;41248696301566,0;397906584124185,-5;47594784512566,4;35175859093373e-08,2;40491922130548e-07
"fd6ff46f1b85f9ed17f80fe98868119c",1;18425156869923,-0;554126481603574,0;128771351580183,-0;0200635236134085,0;983992698223924,NA
"4446d2a211e0a41b6b526dd4940fe073",1;50612297321021,-0;519105378310745,0;281759015825756,1;59874740206261,0;109876740385871,0;198914788629594
