"","average","sd","ratio","ava","avb","cumsum","p","padj"
"5d90a6c60e8488a12b8736149174feb3",0;000395767998998529,0;00038272111052267,1;03408980617254,0;000365645302029799,0;00078244638261079,0;371253164408906,0;04,1
"54a4cc936ea85699a7d451c74455c79f",0;000394975028495537,0;000484328182631758,0;815511140296047,0;000661561446524119,0;000507980840451349,0;371925158790307,0;207,1
"e0477003a6318fccbf30c144d6972b22",0;000392932589371534,0;00101582743127475,0;386810374748837,0;000112636911490775,0;000740942643762459,0;372593678249203,0;082,1
"8cd1e89c0a2ce90d0216b905c92eeb4f",0;000392424377252005,0;000360657474207817,1;08808053434623,0;000727924987940988,0;000427553549116658,0;373261333056755,0;126,1
"f77f60bea17f8acae32403a9ba3c93b8",0;000392365178870522,0;000294818799857058,1;33086892376185,0;000988216480130834,0;000724623915949034,0;373928887146599,0;096,1
"e85ffd2d6b9fbc2f0091fa28d1fcbb9c",0;000389823240815505,0;000345204190246121,1;1292540815845,0;000804745244473515,0;000623230045551535,0;374592116486858,0;219,1
"c6c51b36b65d595757de865e9729eb47",0;000388698865551718,0;000407710592066385,0;953369554569797,0;000462050053353038,0;000959331248603393,0;375253432860965,0;014,1
"c1b5a744a0ffcbdd6626038c0f4b8fed",0;000388314219923286,0;000357902744604624,1;08497133865866,0;00130331592099755,0;00107163853670688,0;375914094814711,0;241,1
"e03fe28257a140efec31b519d5c6a458",0;000385296871521244,0;000471998941060105,0;816308762591438,0;000386050429427698,0;000723616382181814,0;376569623175124,0;182,1
"2fe0b120ab859048261af0c562863b13",0;00038425987809652,0;000298484259997604,1;28737065766753,0;000864011958472611,0;000830217184489619,0;377223387237278,0;992,1
"38f897e725d36512f78c9d03078408f9",0;000383360705353615,0;000379887669583604,1;00914227032906,0;000938672998666546,0;00127676663419197,0;377875621483653,0;138,1
"b24799cb2991b0879425acb631c50263",0;000383077438095049,0;00032133303332857,1;19215081663685,0;000673874586856619,0;000664791989464777,0;378527373790684,0;239,1
"cbfd7fe05b6cc225e20fca9a55c2b205",0;000382330244953371,0;000399224785018331,0;95768163526174,0;00066814456333297,0;000395127714148179,0;379177854853821,0;227,1
"036ea9603c37a47ea85e8694a471856c",0;000381211064610884,0;000343848990524593,1;10865837945108,0;000928998541058939,0;000915343587756523,0;379826431789234,0;205,1
