"","average","sd","ratio","ava","avb","cumsum","p","padj"
"a39f79f8848ae613c002649dc7263437",0;000507404638763596,0;000446477633102263,1;13646149581558,0;00107880357549452,0;000840842084865324,0;335411035291227,0;281,1
"3fe026007ebb9b6eb138320e0b66e204",0;000506683813731889,0;000372679540852086,1;35956970584813,0;00206616903568498,0;00189758194266199,0;336311375869564,0;337,1
"cc8848f906c81d14fd77f99352ac14c1",0;000504210878644455,0;000632793367000663,0;796801775964138,0;000960539756417115,0;000258997039387399,0;33720732222068,0;003,1
"b3a6e00cc458d82ee853bfaa295cdf8c",0;000501216026218112,0;000372867809694039,1;3442190856577,0;000981911903712171,0;00113041268670987,0;338097946935121,0;477,1
"5e273e17a99b5e98eab0d2ca0d7d5280",0;000495268953792092,0;000504129277556698,0;982424500700401,0;000819528808672359,0;000728003004401026,0;338978004130959,0;725,1
"df407da7f7a0e74cba70f33982cc0c0d",0;000494102090509579,0;00044605951498793,1;10770440693984,0;00101018165043295,0;0010442917745439,0;339855987894936,0;954,1
"1aec68e175b364035a76cc7b727ed8f1",0;000490595174855925,0;000409176415805761,1;1989820427207,0;00104180767937062,0;00102339586621649,0;340727740122831,0;986,1
"d020f25d44c354537279f0e7a71e572d",0;000485687488438331,0;000394326279943867,1;23168937283985,0;00179759051877343,0;00184970495179684,0;341590771746065,0;992,1
"856162ed76b7384d55465318c8d70a51",0;000484350898139551,0;000451481217886841,1;07280409228662,0;00100353525864232,0;00078510844086929,0;342451428344777,0;528,1
"d1000d1e6380651eac5158bb1ce8fd00",0;000479758804124799,0;000392030307674175,1;2237798831705,0;000984272871803636,0;000978067604491381,0;343303925123757,0;989,1
"716c3f356e8a69556b9d73bcd1eb9312",0;000479035653985473,0;000394304477273421,1;21488768602873,0;00102851852667334,0;000878482990471262,0;344155136917117,0;786,1
"98373522f3b6a70212c78e145216333f",0;000475807881184586,0;000384488465075871,1;23750885762124,0;00087612420141819,0;000815460791904382,0;345000613191103,0;757,1
"39abd32dcaccccd394530cfe2e15ef37",0;000475778570362698,0;000807212536994103,0;589409292544442,0;000429428412177996,0;000715603219184269,0;345846037381873,0;628,1
"813fd776af6730fcceef91bb9b641e9a",0;000473468932206582,0;000422156614259901,1;12154806110675,0;000686443760663634,0;000939682316362485,0;346687357512287,0;251,1
"61f90ff405e23cc5d17ffe21d5203af9",0;000473104036796499,0;000619218263248321,0;764034371845995,0;000593181493263353,0;000734437537340816,0;347528029249885,0;862,1
"742f5a4b3e03054165bf730bec53dcc3",0;000472692032674965,0;000351949084005763,1;3430693647358,0;00112727744041825,0;0012051323233849,0;348367968885886,0;602,1
"42b460c0e5095d3bcd629d398abb5ef0",0;00046941671240217,0;000563287203313332,0;833352346087391,0;00058159111386509,0;000753766285667985,0;349202088514087,0;659,1
"2a3ea71b3ad9aae8e4999db710764cbf",0;00046776581237805,0;000403695322131259,1;15871001404856,0;00108142453869974,0;0010077947701565,0;350033274612061,0;88,1
"7ce024fe158d8bf1a00a29fa2dd1d9c7",0;000456073738279889,0;00120896225148277,0;377243985674922,0;000769075361096035,0;000226925688095325,0;350843684737979,0;396,1
"0250e2b736ec9c884efcbc819ab133fc",0;000450525626114305,0;000398490393146683,1;13058089696147,0;000803803056817862,0;000921915588865178,0;351644236268891,0;824,1
"1825df9879c501aee5772050881440f8",0;000446306544555118,0;000824136724697322,0;541544298634467,0;000481347928254132,0;000610181497318821,0;352437290796291,0;929,1
"d1400c3fb5f795bf73de3175e8668c0a",0;00044382757444906,0;000360896157339739,1;22979301780499,0;00111157985784815,0;00109246656677414,0;353225940372677,0;716,1
"8440c42087b15d8d14699effdee47393",0;000443192423108812,0;000694096414513027,0;63851709048195,0;000637912665794049,0;000739934844781238,0;354013461330959,0;767,1
"5102b41d87f25b1be28f1c2b96af5530",0;000439485619417688,0;000758639788713068,0;57930736820859,0;000645429589916492,0;000582426202855596,0;354794395566538,0;977,1
"2fe0b120ab859048261af0c562863b13",0;000435930116664299,0;000350009194774086,1;24548189925602,0;00105034838438623,0;00121387156369494,0;355569011930265,0;696,1
"d6819e52a761c4d6bf05180072aa152c",0;000435726259918428,0;00040040948207549,1;08820165211842,0;00137420819588979,0;00118141155066904,0;356343266055262,0;701,1
"e07e42f3c64fddf1de56544ced5de0f5",0;000434713596133851,0;000474030073868748,0;917059106790378,0;00134614526687848,0;00144693749597576,0;357115720749781,0;969,1
"441c5f27025f034d78bf322a4cbb38ad",0;000434217401516027,0;00040086401021967,1;08320375600214,0;00118705506830478,0;00147400800545145,0;357887293742267,0;403,1
"99bb271b8904c0d9388de3337fc8e615",0;0004324569247287,0;000698643503564827,0;618995127732655,0;00070513927798706,0;000360108727627078,0;358655738494524,0;397,1
"b837acad5018efbd5b5e1439b756ba9d",0;000430215959542213,0;000447893321633144,0;960532204350639,0;000582849518072597,0;000732977705443364,0;359420201213337,0;553,1
"00402a1b53052da169b53cf33513c496",0;000427141160337775,0;000418689967305007,1;02018484724429,0;000932392327720419,0;00110505209999348,0;360179200235819,0;249,1
"48e5f9afb2f67a30ef5bc0c4d21d108c",0;000426624965990445,0;000405631806466656,1;05175422437075,0;00116661612186671,0;000854231356885452,0;36093728201819,0;168,1
"0a94f650125f10a11c6a63f3b1065355",0;000426014813450661,0;000331966193513084,1;28330782403561,0;00114856421352798,0;00105809954073745,0;361694279603523,0;617,1
"320aa45994af79d09f5d74fed75e38b6",0;000424695346863012,0;000802836516844729,0;528993559650388,0;000855836282413704,0;000392575575647909,0;362448932591933,0;184,1
"8054b6d7d84413b3f2ea12ee49f8a420",0;000424286038683257,0;000480558717974463,0;882901553574155,0;000559884538980857,0;000585501550785603,0;36320285826924,0;904,1
"77572844f67e8bcd1ad492fd2083a3c6",0;000423652280325737,0;000399004165083353,1;06177408007066,0;000713373066632246,0;000744390201662219,0;363955657803673,0;536,1
"01b5225878865b91a190a4882549ec2e",0;000422547787927267,0;000568736582195833,0;742958693277393,0;000938359177678901,0;00121977107857353,0;364706494734806,0;513,1
"c5f84ce3cce82521d1afd1a858796357",0;000422298716374096,0;000317819551173371,1;32873737570579,0;000835889981018109,0;000898004306344626,0;365456889083761,0;981,1
"f385e7879d1426173997b1be6a435eda",0;000422220095498211,0;000309440242895744,1;36446407728702,0;000944823366122018,0;00115247509368089,0;366207143729091,0;524,1
"4308b54b684c1f072338accf9d680d22",0;000418826576584074,0;000418598172331403,1;00054564082638,0;000632011516899728,0;000682226185975567,0;366951368336164,0;396,1
"5f6ead0d7fd365d822de9f2bedbc8399",0;000413603080554945,0;000351043772908807,1;17820942137148,0;000864541389246124,0;000809265321728223,0;367686311167682,0;692,1
"9834716b1e97b270a3ca6a7e6c99f651",0;000412810450490428,0;000394249705807495,1;04707865195465,0;000805307700464583,0;000857598313771326,0;368419845552767,0;647,1
"70764ef088e9d88a777e7c4cc7e548d9",0;000412337337506219,0;000487309955816223,0;846150037742553,0;000574548033312048,0;000506293341929648,0;369152539250214,0;811,1
"9975b91fdc310ec385499baf8e107e27",0;000411404696369831,0;000308661206894949,1;33286816477022,0;00131307000146578,0;0013801173579927,0;369883575711656,0;976,1
"44de85fbbfdab9723eb228751cb05a67",0;000409080729591862,0;000497542395100367,0;822202758237998,0;000672747444252443,0;000555177578837226,0;370610482651813,0;371,1
"76e53f2d78cdb5c18414d55e4838fa6f",0;000408435725464649,0;000315009822710222,1;29658091913016,0;000837505246609087,0;00076552873731552,0;371336243466175,0;846,1
"818262cb4781a84f37067fadfd5ab0e4",0;000408338179346369,0;000301515405955527,1;35428628614286,0;00119311468746918,0;00118304759100498,0;372061830948124,0;855,1
"839c61611c92c30110a8f5a5c1cb2dfb",0;000406006130517413,0;00036788382420162,1;10362593788549,0;000669122951566265,0;000819246375705204,0;372783274547567,0;308,1
"ae36c65a316003540a1493825373ee34",0;000405848824816962,0;000756767548430889,0;536292585032834,0;000375903955340671,0;000575071002242886,0;37350443862613,0;93,1
"90fc7b5e2ab975d8d639430e12aaec4a",0;000405688421467557,0;000319857240456098,1;26834215442198,0;00183511481248905,0;00204276979115643,0;374225317679516,0;17,1
"10d47a7a299d3f30377ee29f98c7b5c2",0;000404236985961373,0;000307911604604629,1;31283452756004,0;000828390609215258,0;000814992191384331,0;374943617636731,0;375,1
"37a2539e3eb420519d6417974cc125e1",0;000403343045629273,0;000311429985541808,1;2951323390635,0;0013167159745331,0;00137403248724161,0;375660329126477,0;344,1
"7c6b1480e277e8a0ac168e22033d252c",0;000400332941840716,0;000386160877667085,1;03669989632106,0;000785650518716817,0;000718409570604407,0;376371691878979,0;857,1
"028110593bf849753e4f72a74ac9dcd3",0;000399277937130192,0;000620264412631163,0;643722143329897,0;000788798328059714,0;000187875696020267,0;377081179964231,0;011,1
"a552d37ce41e9f289dde8971f2ee31a2",0;000399273336809595,0;000726850785299461,0;549319536946081,0;000514836487161065,0;000440532131499309,0;377790659875045,0;758,1
"9cb9b4a4daf62ef7a1722fb072e41c1b",0;000398998795717952,0;000351579086737098,1;13487636429385,0;00092699920756401,0;000804529712732447,0;378499651946149,0;707,1
"9c44102b3263ba5eec1c06ededc2d7f1",0;000396749036398841,0;000304469853531486,1;30308150970294,0;00119926329279188,0;000855784064612805,0;379204646357269,0;059,1
"8b2e3f53688f401ad7532398ae09c0ba",0;000396573025776824,0;000415903942189007,0;953520718485041,0;000686779824661852,0;000695493414292735,0;379909328010213,0;828,1
"f77f60bea17f8acae32403a9ba3c93b8",0;000395704468304343,0;000352570137361636,1;12234255364193,0;000707113813315077,0;000701806513261937,0;380612466299197,0;987,1
"8f4b81696d1370a83ec73e5ae4989b2f",0;000390986414223112,0;000300362782440381,1;30171391757139,0;000746727939169391,0;000811591697168778,0;3813072209465,0;733,1
"12741fa3609e8e8cbbe4f0399e538793",0;000389362002433232,0;000321816862789781,1;20988688739898,0;00101532734479094,0;000946287945221601,0;381999089131259,0;885,1
